Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2013,1,1,0,0,0,0,0,0,0,0,14,16.181113450791088,967.2681884765625,91.20924489412512,175.57744206291264,0,1.484615683555603,N/A
2013,1,1,1,0,0,0,0,0,0,0,14,15.951597966747215,967.14453125,91.37916273853033,161.98333398373927,0,1.3235069513320923,N/A
2013,1,1,2,0,0,0,0,0,0,0,14,15.827005210660275,967.212646484375,91.1969554756564,148.3302737434183,0,1.041216254234314,N/A
2013,1,1,3,0,0,0,0,0,0,0,14,15.877174641471129,967.4696655273438,91.71847262950033,134.7638755876537,0,0.7111362218856812,N/A
2013,1,1,4,0,0,0,0,0,0,0,15,15.912884677145371,967.8279418945312,97.36154869065697,121.34981018292831,0,0.38851433992385864,N/A
2013,1,1,5,0,0,0,0,0,0,0,10,13.114802805710553,964.7695922851562,81.86177215026403,108.18886903691875,0,1.298138976097107,N/A
2013,1,1,6,0,0,0,0,0,0,0,10,13.528309805432741,965.6465454101562,80.8200137740422,95.35869707721005,0,1.2396947145462036,N/A
2013,1,1,7,0,54,75,64,49,145,67,10,15.732386036574724,966.07763671875,73.18352171042538,83.05995548588378,0,1.1055220365524292,N/A
2013,1,1,8,0,140,352,252,120,419,252,10,18.616794516882578,966.7979736328125,60.38783880716553,71.58640268854467,0,1.0328303575515747,N/A
2013,1,1,9,0,159,572,433,159,572,433,10,22.543973810669684,966.695068359375,46.97737174758393,61.412657140101466,0,0.9998998641967773,N/A
2013,1,1,10,0,182,655,573,182,655,573,11,25.446004804298013,965.89794921875,40.825624836359935,53.300488878975564,0,0.5464085936546326,N/A
2013,1,1,11,0,193,695,655,193,695,655,11,27.08311907939003,964.8140258789062,38.862423795387144,48.30840282731356,0,0.06791947036981583,N/A
2013,1,1,12,0,195,702,670,195,702,670,12,27.811679729681657,963.4955444335938,38.50039727522199,47.436509322206895,0,0.36560574173927307,N/A
2013,1,1,13,0,188,677,615,188,677,615,12,27.69745476008916,962.6044921875,39.355670998449874,50.897765318392,0,0.7935128211975098,N/A
2013,1,1,14,0,170,615,497,170,615,497,12,26.838105262695024,962.5135498046875,41.58694863384348,57.91816730951041,0,1.140840768814087,N/A
2013,1,1,15,0,138,495,329,138,495,329,12,25.211698379680342,962.6619262695312,45.566805969444744,67.38981120253393,0,1.570381999015808,N/A
2013,1,1,16,0,95,172,130,82,273,137,13,22.363421632932955,963.1612548828125,56.10700774156956,78.4229217573273,0,2.404432773590088,N/A
2013,1,1,17,0,0,0,0,1,0,1,13,20.27576347412844,964.10107421875,63.320344058683,90.43593588712059,0,3.1441519260406494,N/A
2013,1,1,18,0,0,0,0,0,0,0,12,19.172086891709682,964.8890380859375,66.4658939342131,103.08916823437924,0,3.3845765590667725,N/A
2013,1,1,19,0,0,0,0,0,0,0,12,18.160500811539293,965.5765380859375,70.37491547710344,116.15088029413627,0,3.3735761642456055,N/A
2013,1,1,20,0,0,0,0,0,0,0,12,17.29294841529753,965.7447509765625,73.688925589217,129.48749744180594,0,3.244760513305664,N/A
2013,1,1,21,0,0,0,0,0,0,0,12,16.573102630393464,965.3226318359375,76.14157490047701,143.0053919879507,0,3.0726962089538574,N/A
2013,1,1,22,0,0,0,0,0,0,0,12,15.950562256597152,965.0375366210938,78.45866161383178,156.63449982021024,0,2.8959121704101562,N/A
2013,1,1,23,0,0,0,0,0,0,0,12,15.399506117913461,964.2059326171875,80.83770220549992,170.2937426878687,0,2.702662944793701,N/A
2013,1,2,0,0,0,0,0,0,0,0,12,14.947658298215345,963.9417114257812,82.80982514821666,175.67468011980043,0,2.512233257293701,N/A
2013,1,2,1,0,0,0,0,0,0,0,11,14.574521057972845,963.600830078125,84.53582289168332,162.1026169581819,0,2.3438174724578857,N/A
2013,1,2,2,0,0,0,0,0,0,0,11,14.25246392183891,963.4475708007812,86.17594478126856,148.44647629206432,0,2.1556358337402344,N/A
2013,1,2,3,0,0,0,0,0,0,0,11,14.039362110393597,963.2384033203125,87.51713815242319,134.8740469727805,0,1.9738022089004517,N/A
2013,1,2,4,0,0,0,0,0,0,0,12,14.061820380811469,963.1775512695312,88.4171393271895,121.45209300194455,0,1.7677948474884033,N/A
2013,1,2,5,0,0,0,0,0,0,0,12,14.160126231132722,963.7743530273438,89.5229724888939,108.2623163861063,0,1.519270420074463,N/A
2013,1,2,6,0,0,0,0,0,0,0,12,14.431088532276249,964.338623046875,91.04929752326427,95.42194275129214,0,1.2505611181259155,N/A
2013,1,2,7,0,52,47,58,48,137,64,13,15.33375459520937,965.0654296875,86.98400211286814,83.109920820677,0,0.962502121925354,N/A
2013,1,2,8,0,118,407,247,118,407,247,13,16.230221413943923,966.0497436523438,84.85711397500512,71.6186506026803,0,0.9429788589477539,N/A
2013,1,2,9,0,157,559,425,157,559,425,13,18.207955088856863,966.4639892578125,74.75008821819651,61.42090610486228,0,1.277683973312378,N/A
2013,1,2,10,0,180,642,564,180,642,564,13,20.681102466577215,966.3111572265625,64.66523421860924,53.27695563860047,0,1.7245234251022339,N/A
2013,1,2,11,0,191,682,646,191,682,646,13,22.935667675135733,965.2212524414062,56.69063172167591,48.24684837023617,0,2.0066428184509277,N/A
2013,1,2,12,0,193,691,662,193,691,662,13,23.992168209806664,964.1436767578125,52.8045679118999,47.33849036935422,0,2.16500186920166,N/A
2013,1,2,13,0,187,669,610,187,669,610,13,23.845568737821452,963.5431518554688,52.53436160727247,50.77439158330855,0,2.3883519172668457,N/A
2013,1,2,14,0,169,609,494,169,609,494,13,22.824621216708692,963.248779296875,55.012839297493024,57.782462683928934,0,2.618966579437256,N/A
2013,1,2,15,0,138,491,328,138,491,328,13,21.279480923572862,963.4009399414062,59.285612752114226,67.25049723225155,0,2.8090660572052,N/A
