Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2014,1,1,0,0,0,0,0,0,0,0,8,14.034716443950458,966.2505493164062,67.89903517868872,175.55693294880737,0,3.405122756958008,N/A
2014,1,1,1,0,0,0,0,0,0,0,8,13.496482514912998,965.7622680664062,70.31511784601058,161.95913451454115,0,3.277353286743164,N/A
2014,1,1,2,0,0,0,0,0,0,0,8,13.000722348174975,965.5580444335938,72.56400181282665,148.30668057148824,0,3.1188156604766846,N/A
2014,1,1,3,0,0,0,0,0,0,0,8,12.601460651021398,965.6235961914062,74.27459720504665,134.74141408167847,0,2.9786152839660645,N/A
2014,1,1,4,0,0,0,0,0,0,0,8,12.27264268582502,965.932861328125,75.77458679991466,121.32882504869627,0,2.906633138656616,N/A
2014,1,1,5,0,0,0,0,0,0,0,15,15.773041363099367,968.63623046875,100,108.16995434386088,0,0.3614373207092285,N/A
2014,1,1,6,0,0,0,0,0,0,0,15,15.699000318817866,969.3872680664062,100,95.34218886123553,0,0.6558912992477417,N/A
2014,1,1,7,0,52,29,56,47,108,60,15,16.15484967071683,970.1819458007812,96.60110523499442,83.0465919654843,0,0.8226320743560791,N/A
2014,1,1,8,0,154,243,231,134,337,241,15,17.05440669713522,970.8490600585938,93.31097866757018,71.5772601844993,0,0.9353195428848267,N/A
2014,1,1,9,0,207,429,413,187,482,418,16,18.626873763528067,971.2316284179688,89.10028910493968,61.40927138288426,0,1.1674562692642212,N/A
2014,1,1,10,0,246,499,545,218,565,556,17,20.139225897418612,970.6234741210938,85.67658205808011,53.30478854818051,0,1.4108420610427856,N/A
2014,1,1,11,0,265,537,623,233,606,636,17,21.016695558842514,969.6859130859375,80.31319837247649,48.32198964888171,0,1.6435482501983643,N/A
2014,1,1,12,0,278,524,633,236,612,650,17,21.57718674866419,968.7037963867188,77.26910508260013,47.45913399183019,0,1.8980555534362793,N/A
2014,1,1,13,0,247,547,592,226,586,596,17,21.21859566783263,968.2872924804688,77.66032290114133,50.92683204884109,0,2.128587007522583,N/A
2014,1,1,14,0,202,522,479,202,522,479,16,20.331849533632294,968.0299682617188,79.6876991829183,57.95053192616405,0,2.5339908599853516,N/A
2014,1,1,15,0,159,405,314,159,405,314,16,18.921008605151656,968.29443359375,83.87872474283307,67.42331408983485,0,2.9681339263916016,N/A
2014,1,1,16,0,94,82,111,86,209,128,15,17.415562021424307,968.975830078125,89.89017471945095,78.4564349456424,0,3.128262519836426,N/A
2014,1,1,17,0,0,0,0,1,0,1,15,16.47164390876185,969.6572265625,94.18843040016137,90.4688219748233,0,3.180189609527588,N/A
2014,1,1,18,0,0,0,0,0,0,0,15,15.958147553882782,970.6187133789062,94.56027580531183,103.12149059816352,0,3.020893096923828,N/A
2014,1,1,19,0,0,0,0,0,0,0,14,15.578296781576455,970.9931640625,94.11424217798465,116.18241025672876,0,2.7747764587402344,N/A
2014,1,1,20,0,0,0,0,0,0,0,14,15.324520100456198,971.4641723632812,93.51871448542978,129.51822561856812,0,2.2931532859802246,N/A
2014,1,1,21,0,0,0,0,0,0,0,14,15.082699196171575,971.5714721679688,94.17940216423024,143.03536729521238,0,1.7798962593078613,N/A
2014,1,1,22,0,0,0,0,0,0,0,14,14.884770827486705,970.9735107421875,94.63614553491806,156.6639053823049,0,1.4647454023361206,N/A
2014,1,1,23,0,0,0,0,0,0,0,13,14.708898078374773,970.7628173828125,94.9929275464995,170.3235751477224,0,1.338493824005127,N/A
2014,1,2,0,0,0,0,0,0,0,0,13,14.426862706709528,970.2427978515625,95.68957278586942,175.65601417203123,0,1.345016598701477,N/A
2014,1,2,1,0,0,0,0,0,0,0,13,14.082860318425844,969.8826904296875,96.79326964594112,162.0792045101321,0,1.4000036716461182,N/A
2014,1,2,2,0,0,0,0,0,0,0,13,13.698436899881415,969.3491821289062,97.99380137836523,148.42365781072527,0,1.4760340452194214,N/A
2014,1,2,3,0,0,0,0,0,0,0,13,13.18086112940074,969.3229370117188,99.65621195408332,134.85243468841588,0,1.5137475728988647,N/A
2014,1,2,4,0,0,0,0,0,0,0,12,12.547583927490393,969.35888671875,100,121.43206414827986,0,1.497529149055481,N/A
2014,1,2,5,0,0,0,0,0,0,0,11,11.96487429556663,969.96630859375,100,108.24427921613324,0,1.4671275615692139,N/A
2014,1,2,6,0,0,0,0,0,0,0,11,11.896720011851755,970.6467895507812,100,95.40643465065358,0,1.4423907995224,N/A
2014,1,2,7,0,38,0,38,48,115,62,12,13.633562458787935,971.7032470703125,93.8892580903807,83.09768885428878,0,1.2331537008285522,N/A
2014,1,2,8,0,125,7,128,137,351,248,12,16.472236064873243,972.5620727539062,76.80552042153101,71.61081850144068,0,1.2520430088043213,N/A
2014,1,2,9,0,180,5,183,190,499,429,12,19.242902384849458,972.8286743164062,67.12180809953846,61.41901665841291,0,1.2404571771621704,N/A
2014,1,2,10,0,211,5,214,221,583,570,13,20.975856368302004,972.1217041015625,61.65776024254155,53.28292961930484,0,1.3429639339447021,N/A
2014,1,2,11,0,225,6,229,237,624,652,13,22.151158891411114,971.3232421875,57.8594261136354,48.26222343452577,0,1.5046926736831665,N/A
2014,1,2,12,0,240,7,245,239,630,666,13,22.713736259591997,970.4763793945312,55.55684262008968,47.36287187673129,0,1.6892197132110596,N/A
2014,1,2,13,0,211,4,214,229,604,611,13,22.681758445350567,970.0162963867188,54.69194642796925,50.805018917660405,0,1.8209095001220703,N/A
2014,1,2,14,0,192,6,196,205,539,493,12,21.889425776031317,969.6176147460938,55.44700462486261,57.81610703712201,0,2.035198211669922,N/A
2014,1,2,15,0,185,78,216,162,422,325,11,20.31994943302476,969.2843017578125,57.67805517150894,67.28500191954933,0,2.3311262130737305,N/A
2014,1,2,16,0,96,51,107,89,223,134,11,17.73383816203176,969.78271484375,66.02579647387917,78.31868322088252,0,2.6452548503875732,N/A
2014,1,2,17,0,0,0,0,1,0,1,10,15.730969167935257,970.048828125,71.55159306960778,90.33378806926048,0,3.113269567489624,N/A
2014,1,2,18,0,0,0,0,0,0,0,9,14.562410730864372,970.7001342773438,73.01958922636874,102.98957150380598,0,3.2256903648376465,N/A
2014,1,2,19,0,0,0,0,0,0,0,9,13.495898348201365,971.1552734375,74.95954824088737,116.05405240418625,0,3.1018683910369873,N/A
2014,1,2,20,0,0,0,0,0,0,0,8,12.581763307537358,971.3477172851562,77.27085997239482,129.3934057208249,0,2.6812679767608643,N/A
2014,1,2,21,0,0,0,0,0,0,0,8,11.873387761148877,971.0172729492188,78.91214195481639,142.91382587261938,0,2.111053943634033,N/A
2014,1,2,22,0,0,0,0,0,0,0,7,11.364495637433436,970.8206787109375,79.14599443162633,156.54480427311685,0,1.514029860496521,N/A
2014,1,2,23,0,0,0,0,0,0,0,7,10.904352268367802,970.1378784179688,78.8196411224201,170.2025116056065,0,0.9584861993789673,N/A
2014,1,3,0,0,0,0,0,0,0,0,7,10.420632071033992,969.7280883789062,80.16399258123903,175.72808305020612,0,0.5280463099479675,N/A
2014,1,3,1,0,0,0,0,0,0,0,6,9.967526960982866,969.5226440429688,77.38799500197085,162.17234248933858,0,0.3032206892967224,N/A
