Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2000,1,1,0,0,0,0,0,0,0,0,3,13.986429061923275,964.5098266601562,48.66148386045883,175.59712721380612,0,2.733916759490967,N/A
2000,1,1,1,0,0,0,0,0,0,0,3,13.684157119846645,964.110107421875,50.2962938579982,162.00546796754898,0,2.660167932510376,N/A
2000,1,1,2,0,0,0,0,0,0,0,3,13.329300834850585,963.8441772460938,51.627186832811326,148.35203479197185,0,2.6555228233337402,N/A
2000,1,1,3,0,0,0,0,0,0,0,3,13.000681624642198,963.3552856445312,52.65519626120362,134.7849193358766,0,2.693983316421509,N/A
2000,1,1,4,0,0,0,0,0,0,0,3,12.782370892193683,963.3580932617188,54.14154857769975,121.36989549552789,0,2.719820737838745,N/A
2000,1,1,5,0,0,0,0,0,0,0,7,9.53689616791064,967.4192504882812,87.37665040463976,108.13107837015187,0,2.0566065311431885,N/A
2000,1,1,6,0,0,0,0,0,0,0,7,9.795915209043073,967.8885498046875,86.29201106766031,95.30903900482414,0,2.073801279067993,N/A
2000,1,1,7,0,55,86,66,51,181,73,8,12.87110436017332,968.6456298828125,76.3817190517123,83.02085863390757,0,1.9031975269317627,N/A
2000,1,1,8,0,149,375,268,121,465,268,9,16.043263540307578,969.2064819335938,65.73600429347611,71.56140880698518,0,1.404869556427002,N/A
2000,1,1,9,0,162,611,455,160,617,456,9,20.47791856791929,969.2562866210938,48.926507729733544,61.40673342860802,0,1.1779640913009644,N/A
2000,1,1,10,0,183,698,600,183,698,600,9,23.532445709827357,969.0590209960938,41.35767611437877,53.31976867375052,0,0.5745165944099426,N/A
2000,1,1,11,0,194,735,682,194,735,682,9,25.100303032991746,968.1504516601562,37.80907596664379,48.35774476923121,0,0.2935645282268524,N/A
2000,1,1,12,0,195,740,695,195,740,695,9,25.644234391418877,967.1583251953125,36.318169506795165,47.51457418901409,0,0.4579259157180786,N/A
2000,1,1,13,0,188,714,637,188,714,637,9,25.414282614935814,966.396484375,36.26149738392787,50.995718487128585,0,0.626590371131897,N/A
2000,1,1,14,0,170,650,515,170,650,515,9,24.45603066181087,965.862548828125,37.48063199269286,58.02573391591882,0,0.8985249400138855,N/A
2000,1,1,15,0,138,530,341,138,530,341,9,22.709661231010443,966.0123901367188,42.44460082147816,67.50013057522034,0,1.375459909439087,N/A
2000,1,1,16,0,94,205,135,82,307,143,10,19.482297015723248,966.2939453125,55.23058719168491,78.53252691064968,0,2.1453566551208496,N/A
2000,1,1,17,0,0,0,0,1,0,1,9,17.393302574075676,966.7201538085938,60.03320754162269,90.54310089124492,0,2.7238142490386963,N/A
2000,1,1,18,0,0,0,0,0,0,0,9,16.306891707877924,967.363037109375,62.25691650805308,103.19376745904202,0,2.9512503147125244,N/A
2000,1,1,19,0,0,0,0,0,0,0,8,15.26675135082911,968.23974609375,65.02441118622295,116.25250323490016,0,2.922414541244507,N/A
2000,1,1,20,0,0,0,0,0,0,0,8,14.355444141480291,968.4341430664062,67.35713738161083,129.58617837390582,0,2.825561046600342,N/A
2000,1,1,21,0,0,0,0,0,0,0,7,13.537634990243532,968.3387451171875,69.15364766101067,143.10134523991957,0,2.695441246032715,N/A
2000,1,1,22,0,0,0,0,0,0,0,7,12.832168614867157,968.0547485351562,70.50566762013626,156.72839168159484,0,2.519218683242798,N/A
2000,1,1,23,0,0,0,0,0,0,0,7,12.229088368379337,967.7665405273438,71.52635987335405,170.38908635012885,0,2.299703359603882,N/A
2000,1,2,0,0,0,0,0,0,0,0,6,11.720488487974706,967.7679443359375,72.26520603740613,175.6170810767507,0,2.074080467224121,N/A
2000,1,2,1,0,0,0,0,0,0,0,6,11.288229922096264,967.4703979492188,72.93974205567648,162.02943299200663,0,1.899371862411499,N/A
2000,1,2,2,0,0,0,0,0,0,0,6,10.86506651642145,967.332763671875,73.74963617843495,148.3753944252544,0,1.8901818990707397,N/A
2000,1,2,3,0,0,0,0,0,0,0,6,10.454583738675012,967.2202758789062,74.86672512446692,134.80712189760413,0,1.9057408571243286,N/A
2000,1,2,4,0,0,0,0,0,0,0,6,10.08613858105889,967.7550048828125,76.11989375172298,121.39058626592336,0,1.8843648433685303,N/A
2000,1,2,5,0,0,0,0,0,0,0,6,9.721782663671263,968.5079345703125,78.57506573272227,108.20758800489358,0,1.8436129093170166,N/A
2000,1,2,6,0,0,0,0,0,0,0,6,9.942447085052265,969.101318359375,78.72478205763984,95.3757759262103,0,1.7737617492675781,N/A
2000,1,2,7,0,54,84,65,51,182,73,8,13.031794143227387,970.2096557617188,72.75611830888572,83.07481480063386,0,1.5808807611465454,N/A
2000,1,2,8,0,148,374,267,121,468,269,8,16.042273365487347,970.5067138671875,62.62850019658555,71.5982306832842,0,1.1163313388824463,N/A
2000,1,2,9,0,161,621,458,161,621,458,9,20.40745400917774,970.6978759765625,48.08205205512532,61.420199035703135,0,0.6581006050109863,N/A
2000,1,2,10,0,178,700,597,183,703,604,8,23.477472067310885,969.9649658203125,39.58064962239886,53.30207547237163,0,0.19856469333171844,N/A
2000,1,2,11,0,194,740,687,194,740,687,9,24.82266873016431,969.0078735351562,36.84347474635095,48.302426764448214,0,0.13476689159870148,N/A
2000,1,2,12,0,196,746,701,196,746,701,8,25.428137572843752,967.7698364257812,35.02095508375852,47.422674829883384,0,0.2912067174911499,N/A
2000,1,2,13,0,189,720,643,189,720,643,8,25.299822763010752,967.1378784179688,34.61936644606114,50.87776948673623,0,0.4341013431549072,N/A
2000,1,2,14,0,171,657,521,171,657,521,8,24.358827133981322,966.5919189453125,35.69620996747936,57.89446670718542,0,0.7139674425125122,N/A
2000,1,2,15,0,139,537,346,139,537,346,8,22.59657661065239,966.7809448242188,40.37569632216341,67.36427775071292,0,1.296047568321228,N/A
2000,1,2,16,0,95,213,138,84,313,147,9,19.28443183066588,966.782470703125,53.047717048357455,78.39663589863162,0,2.222806453704834,N/A
2000,1,2,17,0,0,0,0,1,1,1,8,17.159205683482185,967.0278930664062,57.51145617430973,90.40944847333117,0,2.9141082763671875,N/A
2000,1,2,18,0,0,0,0,0,0,0,8,15.997952168987808,967.5625,59.155097957439416,103.06281607348187,0,3.190974712371826,N/A
2000,1,2,19,0,0,0,0,0,0,0,7,14.905146223703923,968.0930786132812,61.098777005874574,116.12478384163073,0,3.183485269546509,N/A
2000,1,2,20,0,0,0,0,0,0,0,7,13.963540755093845,968.2489624023438,62.91219288476951,129.46172926850778,0,2.8941762447357178,N/A
2000,1,2,21,0,0,0,0,0,0,0,6,13.207083488448518,968.5299072265625,64.19043638344685,142.97997077997047,0,2.5007567405700684,N/A
2000,1,2,22,0,0,0,0,0,0,0,6,12.639274318678076,968.1427001953125,64.6728952094342,156.6093577629045,0,2.0849316120147705,N/A
2000,1,2,23,0,0,0,0,0,0,0,5,12.188911124415256,967.541748046875,64.672141079544,170.26838088008444,0,1.658427119255066,N/A
2000,1,3,0,0,0,0,0,0,0,0,5,11.76095611325394,967.322265625,64.7221941019945,175.69316854328562,0,1.3699196577072144,N/A
2000,1,3,1,0,0,0,0,0,0,0,5,11.323060749088313,966.9027099609375,65.19997258602392,162.1242763515785,0,1.2868491411209106,N/A
2000,1,3,2,0,0,0,0,0,0,0,4,10.899815647733817,966.2561645507812,66.30411438955255,148.46777014595384,0,1.2773404121398926,N/A
2000,1,3,3,0,0,0,0,0,0,0,4,10.526955067863753,966.0743408203125,66.94928756159669,134.89457480617122,0,1.2236248254776,N/A
2000,1,3,4,0,0,0,0,0,0,0,4,10.155587908770315,966.0542602539062,68.45457769780717,121.47159286917568,0,1.1130224466323853,N/A
2000,1,3,5,0,0,0,0,0,0,0,4,9.814951605127817,966.5305786132812,68.71433763901112,108.28049389105908,0,0.9589381814002991,N/A
2000,1,3,6,0,0,0,0,0,0,0,5,10.054094131962756,967.1359252929688,75.07782507929576,95.43840095371891,0,0.8257536292076111,N/A
2000,1,3,7,0,54,82,64,51,183,73,6,13.320932017293387,967.8159790039062,65.2927467616639,83.12407162244588,0,0.7369651198387146,N/A
2000,1,3,8,0,148,385,270,122,472,271,7,16.32237111400366,968.7554321289062,55.631445897590105,71.62966375504804,0,0.5676934719085693,N/A
2000,1,3,9,0,157,625,456,161,626,461,7,20.457605311407008,968.7653198242188,43.11503017919946,61.427515128649276,0,0.2457275241613388,N/A
2000,1,3,10,0,184,707,607,184,707,607,6,23.649726868007747,968.4944458007812,34.10998202756065,53.277492794255075,0,0.40459805727005005,N/A
2000,1,3,11,0,195,745,692,195,745,692,6,24.81543445872086,967.5087890625,31.600165631165517,48.23974394505102,0,0.6567491292953491,N/A
2000,1,3,12,0,188,751,698,197,751,706,6,25.202752454118922,966.451171875,30.458668177592706,47.323537755542944,0,0.8647391200065613,N/A
2000,1,3,13,0,189,726,649,189,726,649,6,24.933082393442987,965.5079956054688,30.306138924722266,50.75339272814359,0,1.0148649215698242,N/A
2000,1,3,14,0,172,663,526,172,663,526,5,23.987949694010354,965.0159301757812,31.35963779358169,57.75793214149664,0,1.1858220100402832,N/A
2000,1,3,15,0,148,520,350,140,544,351,6,22.32567902249974,965.1624145507812,36.11778553794031,67.22431054404326,0,1.4253571033477783,N/A
2000,1,3,16,0,96,220,141,85,321,150,8,19.04568713047979,965.063232421875,50.86789319740303,78.25762432459457,0,1.8836159706115723,N/A
2000,1,3,17,0,0,0,0,1,1,1,7,17.008085769984973,965.5213012695312,54.687103514673844,90.27349427590417,0,2.3256781101226807,N/A
2000,1,3,18,0,0,0,0,0,0,0,7,15.97386787888422,965.9994506835938,55.95443679068506,102.93022700373609,0,2.563185691833496,N/A
2000,1,3,19,0,0,0,0,0,0,0,6,15.021087280863469,966.290283203125,57.88665309180976,115.9959738661238,0,2.574355125427246,N/A
2000,1,3,20,0,0,0,0,0,0,0,6,14.1618196520389,966.6416015625,59.86470432640792,129.3366343881043,0,2.4180803298950195,N/A
2000,1,3,21,0,0,0,0,0,0,0,6,13.43923005286058,966.839599609375,61.331750288056305,142.85828919532958,0,2.1398985385894775,N/A
2000,1,3,22,0,0,0,0,0,0,0,5,12.849796775491825,966.5242919921875,62.1488815437609,156.49018255450707,0,1.7591973543167114,N/A
2000,1,3,23,0,0,0,0,0,0,0,5,12.306728998681876,966.3722534179688,62.51418468374242,170.14705682098943,0,1.3715850114822388,N/A
2000,1,4,0,0,0,0,0,0,0,0,4,11.818036436269438,966.3806762695312,62.61543833335935,175.7624250158973,0,1.133835792541504,N/A
2000,1,4,1,0,0,0,0,0,0,0,4,11.372351288418997,965.993896484375,64.7469764058145,162.21629511820794,0,1.0284819602966309,N/A
2000,1,4,2,0,0,0,0,0,0,0,3,10.944433577469624,965.5703735351562,60.71358576334532,148.55741922453154,0,0.9530846476554871,N/A
2000,1,4,3,0,0,0,0,0,0,0,3,10.554589736876494,965.4649047851562,63.155851756643756,134.97907960141336,0,0.8690552711486816,N/A
2000,1,4,4,0,0,0,0,0,0,0,3,10.182124290691434,965.5648193359375,62.862626610544694,121.54931407227875,0,0.8013399243354797,N/A
2000,1,4,5,0,0,0,0,0,0,0,3,9.861018218419872,966.0371704101562,64.95593475817456,108.34969840965232,0,0.7133820652961731,N/A
