Hour,Wind Speed
0,0.7104259729385376
1,0.8604515790939331
2,0.840190589427948
3,0.774927020072937
4,0.7210694551467896
5,0.6193467378616333
6,0.5505906939506531
7,0.7769514322280884
8,0.9798879027366638
9,1.1769781112670898
10,1.3785595893859863
11,1.6289288997650146
12,1.880404353141785
13,2.1673018932342534
14,2.2482364177703857
15,2.3005788326263428
16,2.3572065830230717
17,2.650866985321045
18,2.987966060638428
19,3.1502575874328613
20,3.2624168395996094
21,3.266730785369873
22,3.262403011322021
23,3.2657570838928223
0,3.273390054702759
1,3.254770517349243
2,3.2251880168914795
3,3.170968770980835
4,3.0942919254302983
5,3.031172037124634
6,2.9280774593353267
7,3.0360679626464844
8,3.3749268054962163
9,3.738747119903565
10,3.909391164779663
11,4.019230842590332
12,4.030216693878174
13,3.9467408657073975
14,3.77318286895752
15,3.495482444763184
16,3.2677102088928223
17,3.121889591217041
18,3.2063302993774414
19,3.31518030166626
20,3.331101179122925
21,3.318178415298462
22,3.349940538406372
23,3.426628589630127
0,3.5310792922973637
1,3.624553203582764
2,3.660513162612915
3,3.6795015335083012
4,3.68867826461792
5,3.641189813613892
6,3.5352494716644287
7,3.4046998023986816
8,3.4930188655853267
9,3.6315708160400386
10,3.701984882354736
11,3.6872079372406006
12,3.581784725189209
13,3.416761636734009
14,3.1560180187225337
15,2.8993210792541504
16,2.807185649871826
17,2.8389248847961426
18,2.9047772884368896
19,2.9273803234100337
20,2.8719661235809326
21,2.877211570739746
22,2.9202423095703125
23,2.957244396209717
0,3.0057616233825684
1,3.0376291275024414
2,2.966325521469116
3,2.8772544860839844
4,2.808173418045044
5,2.729816436767578
6,2.609463691711426
7,2.6144161224365234
8,3.0935218334198
9,3.200680017471313
10,3.1554169654846187
11,3.0217528343200684
12,2.8582708835601807
13,2.8860809803009038
14,3.0148839950561523
15,2.887120008468628
16,2.833951711654663
17,2.925877332687378
18,3.081775665283203
19,3.171865701675415
20,3.2352569103240967
21,3.2485737800598145
22,3.2335126399993896
23,3.1863741874694824
0,3.1235151290893555
1,3.006608247756958
2,2.7975409030914307
3,2.672067880630493
4,2.605597972869873
5,2.568284273147583
6,2.494441270828247
7,2.5128414630889893
8,2.7548177242279053
9,2.5527634620666504
10,2.448129415512085
11,2.3544485569000244
12,2.340001583099365
13,2.255542039871216
14,2.367830991744995
15,2.437319755554199
16,2.314077138900757
17,2.2013909816741943
18,2.1609723567962646
19,2.144986867904663
20,2.064605474472046
21,1.9526526927948
22,1.9264520406723025
23,1.9851293563842771
0,2.028724908828736
1,2.0346574783325195
2,2.161092519760132
3,2.41679310798645
4,2.674985408782959
5,2.855695962905884
6,3.0313751697540283
7,3.6255364418029785
8,4.2173590660095215
9,4.7766547203063965
10,5.281819343566895
11,5.744781970977782
12,6.02381706237793
13,5.999221324920653
14,5.743698120117188
15,5.373575687408447
16,5.243217945098877
17,5.3689069747924805
18,5.403871536254883
19,5.403497219085693
20,5.32188892364502
21,5.239050388336182
22,5.209075450897217
23,5.158626079559326
0,5.070591449737549
1,4.983489513397217
2,5.022651672363281
3,5.082066059112549
4,5.047102451324463
5,4.938423156738281
6,4.773016452789307
7,4.652283668518066
8,4.603014945983887
9,4.589675426483153
10,4.586909770965576
11,4.685181617736816
12,4.678424835205078
13,4.607306480407715
14,4.422216415405273
15,4.070243835449219
16,3.622308015823364
17,3.4523847103118896
18,3.574174165725708
19,3.69807767868042
20,3.6656064987182617
21,3.6153261661529537
22,3.6293714046478267
23,3.6610143184661865
0,3.6589353084564213
1,3.633677482604981
2,3.6698026657104488
3,3.7190947532653813
4,3.8142697811126713
5,3.993656635284424
6,4.098355770111084
7,4.1814961433410645
8,4.2479820251464835
9,4.324170112609863
10,4.436056613922119
11,4.544577121734619
12,4.456984519958496
13,4.185661792755127
14,3.9258785247802734
15,3.4082345962524414
16,3.181304216384888
17,3.171162843704224
18,3.282045602798462
19,3.3419191837310787
20,3.2359533309936523
21,3.124151468276977
22,3.0613994598388667
23,3.0115225315093994
0,2.9843654632568364
1,2.9878084659576416
2,3.026425838470459
3,3.06563401222229
4,3.137280941009521
5,3.251293659210205
6,3.3736319541931152
7,3.5487072467803955
8,3.8264353275299072
9,4.1996750831603995
10,4.380452156066895
11,4.506145477294922
12,4.504417896270752
13,4.386054515838623
14,4.020593166351318
15,3.711814403533936
16,3.4152626991271973
17,3.23356294631958
18,3.154906272888184
19,3.1106264591217037
20,3.0492284297943115
21,3.025444746017456
22,3.019902229309082
23,3.011948823928833
0,2.989759683609009
1,2.996610403060913
2,2.9293758869171143
3,2.8385086059570312
4,2.7656493186950684
5,2.6843430995941158
6,2.577425956726074
7,2.5849480628967285
8,2.790077209472656
9,3.016453981399536
10,3.106820821762085
11,3.1154098510742188
12,3.08078932762146
13,2.9653475284576416
14,2.8613131046295166
15,2.577514171600342
16,2.201254844665528
17,2.1008708477020264
18,2.1936180591583248
19,2.3129048347473145
20,2.3853089809417725
21,2.3875675201416016
22,2.3332898616790767
23,2.281002759933472
0,2.244741201400757
1,2.1851129531860347
2,2.1192831993103027
3,2.0299181938171387
4,1.9476261138916016
5,1.8892924785614011
6,1.8196808099746704
7,2.0091485977172847
8,2.2758877277374268
9,2.4665818214416504
10,2.547869205474853
11,2.579293966293335
12,2.65691876411438
13,2.7860276699066158
14,2.881096601486206
15,2.898260593414306
16,2.7228143215179443
17,2.6834046840667725
18,2.8127689361572266
19,2.8924355506896973
20,2.876127004623413
21,2.783557891845703
22,2.697223663330078
23,2.6173288822174072
0,2.565703153610229
1,2.5013678073883057
2,2.478485345840454
3,2.488754749298096
4,2.522041320800781
5,2.577558994293213
6,2.6165907382965092
7,2.869500637054444
8,3.16680908203125
9,3.4077489376068115
10,3.6422820091247563
11,3.6206269264221187
12,3.638564586639404
13,3.560105323791504
14,3.4100675582885738
15,3.1169214248657227
16,2.855457305908203
17,2.8217649459838867
18,2.8903820514678955
19,2.9769952297210693
20,3.071180582046509
21,3.2135388851165767
22,3.3579323291778564
23,3.4568426609039307
0,3.5041413307189937
1,3.5609133243560787
2,3.6700048446655273
3,3.739831924438477
4,3.75412654876709
5,3.767968416213989
6,3.7469351291656494
7,3.879800081253052
8,4.057389736175537
9,4.133194923400879
10,4.123205661773682
11,4.1391615867614755
12,4.098094940185547
