Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2012,1,1,0,0,0,0,0,0,0,0,10,14.571578446992646,963.8284301757812,74.73907463956621,175.59761376413135,0,2.158653974533081,N/A
2012,1,1,1,0,0,0,0,0,0,0,9,14.111360779144775,963.7202758789062,76.28226289508355,162.00738672652562,0,2.0867919921875,N/A
2012,1,1,2,0,0,0,0,0,0,0,9,13.708495036687339,963.6333618164062,77.86820371980238,148.35372081422435,0,1.8663922548294067,N/A
2012,1,1,3,0,0,0,0,0,0,0,9,13.394569814510476,963.7626953125,79.35184937483257,134.78617562796302,0,1.5903301239013672,N/A
2012,1,1,4,0,0,0,0,0,0,0,9,13.185822923339174,964.2548828125,80.96378408417843,121.3706123808936,0,1.4000277519226074,N/A
2012,1,1,5,0,0,0,0,0,0,0,18,19.458110203732872,966.3472290039062,96.428686601896,108.13139922178947,0,2.840245246887207,N/A
2012,1,1,6,0,0,0,0,0,0,0,18,19.419946782811678,967.11328125,95.997974178784,95.30860716604306,0,2.956996202468872,N/A
2012,1,1,7,0,49,21,52,47,114,61,19,20.04016327068649,967.8804321289062,94.93468936504875,83.01952789385501,0,2.9809250831604004,N/A
2012,1,1,8,0,109,0,109,126,359,240,20,21.085329274347885,968.4367065429688,93.54524586754576,71.55889509785322,0,2.995310068130493,N/A
2012,1,1,9,0,123,0,123,171,507,414,21,22.500948947017207,968.221923828125,91.58149733365907,61.40276589756938,0,3.1065115928649902,N/A
2012,1,1,10,0,228,12,236,197,591,551,21,23.727471255871535,967.1358642578125,86.40372914570126,53.31409000389525,0,3.4056668281555176,N/A
2012,1,1,11,0,308,37,333,211,632,631,21,24.549185872987096,965.4140625,82.60207830157036,48.350350400561005,0,3.703962802886963,N/A
2012,1,1,12,0,203,11,211,213,638,644,21,24.78161777130265,964.4987182617188,80.887650496853,47.50598677395508,0,3.811829090118408,N/A
