Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2011,1,1,0,0,0,0,0,0,0,0,20,20.143096076722657,966.6018676757812,99.58022686651617,175.5358157233938,0,2.364246368408203,N/A
2011,1,1,1,0,0,0,0,0,0,0,19,20.04686543367734,965.9613647460938,98.88914154297616,161.93409392516304,0,2.3648791313171387,N/A
2011,1,1,2,0,0,0,0,0,0,0,19,19.92241189157795,965.5765380859375,98.18660395943563,148.28232422819337,0,2.494980573654175,N/A
2011,1,1,3,0,0,0,0,0,0,0,19,19.79235582006669,965.3656616210938,97.62627990480335,134.7183119064796,0,2.6287424564361572,N/A
2011,1,1,4,0,0,0,0,0,0,0,19,19.606415910198564,965.8219604492188,97.151293483431,121.30735017664064,0,2.7331795692443848,N/A
2011,1,1,5,0,0,0,0,0,0,0,12,12.760534628299638,964.283203125,98.96465903373793,108.15075712073208,0,1.7495954036712646,N/A
2011,1,1,6,0,0,0,0,0,0,0,12,12.53704698425571,965.1290893554688,99.22001372090877,95.32562310715369,0,1.6420291662216187,N/A
2011,1,1,7,0,54,109,68,50,201,74,12,12.961654476821195,965.9189453125,98.6130553597761,83.03344557694585,0,1.4536267518997192,N/A
2011,1,1,8,0,134,376,253,114,498,272,13,14.049661694892848,966.4573974609375,96.00394080367664,71.56869335856591,0,1.3794732093811035,N/A
2011,1,1,9,0,168,609,460,149,653,462,13,15.659324658574576,966.7719116210938,85.64647091737787,61.406907043150525,0,1.6301320791244507,N/A
2011,1,1,10,0,169,734,608,169,734,608,13,18.466684505095657,965.9744873046875,72.54283996863205,53.31064268773381,0,1.8015297651290894,N/A
2011,1,1,11,0,179,772,693,179,772,693,11,19.78499418983256,965.0639038085938,60.79224942713084,48.337677771116645,0,2.029956340789795,N/A
2011,1,1,12,0,181,778,707,181,778,707,10,20.567097198461624,963.9861450195312,53.30509505728253,47.484262305851495,0,2.2304091453552246,N/A
2011,1,1,13,0,174,753,649,174,753,649,9,20.72435900141363,963.6565551757812,48.47183338430664,50.9585475484094,0,2.464475393295288,N/A
2011,1,1,14,0,158,692,525,158,692,525,8,20.127855305593016,963.4415283203125,46.47444585966877,57.98548269473861,0,2.6929047107696533,N/A
2011,1,1,15,0,130,573,350,130,573,350,7,18.769409725391768,963.5196533203125,47.83475986163311,67.45924627145766,0,2.8240103721618652,N/A
2011,1,1,16,0,91,231,138,80,345,149,8,16.191840248230392,963.9080810546875,58.39176733924711,78.49219933524853,0,2.7464287281036377,N/A
2011,1,1,17,0,0,0,0,1,1,1,7,14.318981036678451,964.7299194335938,65.59139344112828,90.50384484254695,0,2.8453264236450195,N/A
2011,1,1,18,0,0,0,0,0,0,0,7,13.413020609933824,965.4166870117188,68.05290634454914,103.15570817685077,0,2.7768352031707764,N/A
2011,1,1,19,0,0,0,0,0,0,0,7,12.569499830207917,965.7357788085938,70.1157043976859,116.21568920536298,0,2.579674005508423,N/A
2011,1,1,20,0,0,0,0,0,0,0,6,11.79126129983257,965.8056640625,71.62294591570246,129.5505715345036,0,2.317899465560913,N/A
2011,1,1,21,0,0,0,0,0,0,0,6,11.074502217809595,965.8513793945312,72.63088881369887,143.06684534912483,0,2.0552520751953125,N/A
2011,1,1,22,0,0,0,0,0,0,0,5,10.395909210243246,965.2423706054688,73.43819966118983,156.69472692633877,0,1.8578232526779175,N/A
