Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2003,1,1,0,0,0,0,0,0,0,0,5,11.291210088260584,968.3856811523438,67.57280938025757,175.53523964004575,0,1.7731720209121704,N/A
2003,1,1,1,0,0,0,0,0,0,0,5,10.83676088149258,968.08935546875,70.19266420644414,161.93269214880792,0,1.7351311445236206,N/A
2003,1,1,2,0,0,0,0,0,0,0,5,10.421163770134228,968.0138549804688,71.14216730241621,148.28107878775847,0,1.2580467462539673,N/A
2003,1,1,3,0,0,0,0,0,0,0,5,10.044373592111413,968.1040649414062,72.40191033959215,134.71734229479287,0,0.9339194297790527,N/A
2003,1,1,4,0,0,0,0,0,0,0,5,9.713071199809008,968.385498046875,74.8555092183999,121.30672496321783,0,0.8101679086685181,N/A
2003,1,1,5,0,0,0,0,0,0,0,6,7.097478415494493,967.9957885742188,99.05625271077726,108.15060027929414,0,2.261770725250244,N/A
2003,1,1,6,0,0,0,0,0,0,0,6,7.228799260424751,969.1047973632812,97.80679339312965,95.3259756608088,0,2.0980443954467773,N/A
2003,1,1,7,0,51,86,62,50,209,75,7,9.60959526827412,970.1411743164062,89.39208287450637,83.03440692829577,0,1.6856598854064941,N/A
2003,1,1,8,0,148,113,184,115,500,273,8,12.867350426729558,971.00537109375,73.45300571208449,71.5704543803986,0,1.4030574560165405,N/A
2003,1,1,9,0,219,67,252,151,650,462,7,16.085906870742406,971.0260620117188,58.12185502335456,61.409647949702276,0,1.3136488199234009,N/A
2003,1,1,10,0,149,0,149,171,729,607,7,18.307630989134452,970.3856201171875,49.27511590466906,53.31453400500942,0,1.2047240734100342,N/A
2003,1,1,11,0,234,9,240,181,766,691,6,20.06390196070896,969.5591430664062,41.970217295230626,48.342719526486526,0,1.2625962495803833,N/A
2003,1,1,12,0,338,137,431,183,770,704,5,21.1306923680944,969.099609375,37.15496687670707,47.4900959956902,0,1.3952305316925049,N/A
2003,1,1,13,0,147,0,147,176,745,646,5,21.316271244231018,968.6686401367188,35.87212815167374,50.96457836947371,0,1.4745961427688599,N/A
2003,1,1,14,0,186,5,189,160,684,523,5,20.559587668109145,968.1875,37.01562413412645,57.991252615293504,0,1.6775599718093872,N/A
2003,1,1,15,0,176,65,201,131,567,348,5,18.938284564911328,968.1014404296875,40.688962890766064,67.46456273897307,0,1.8899693489074707,N/A
2003,1,1,16,0,85,28,91,80,344,148,6,16.106387537482192,968.5134887695312,52.12484641157717,78.49703201049424,0,2.150259017944336,N/A
2003,1,1,17,0,0,0,0,1,1,1,7,13.983383934030485,968.8081665039062,63.388203973732146,90.50819724894302,0,2.4468235969543457,N/A
2003,1,1,18,0,0,0,0,0,0,0,7,13.030687829260444,969.0910034179688,67.20171566903494,103.15969515446156,0,2.4908547401428223,N/A
2003,1,1,19,0,0,0,0,0,0,0,7,12.167633718915681,969.6281127929688,70.86740169817145,116.21932028416687,0,2.3941612243652344,N/A
2003,1,1,20,0,0,0,0,0,0,0,6,11.429128387785454,969.7731323242188,73.92963264913597,129.55388825606073,0,2.2245943546295166,N/A
2003,1,1,21,0,0,0,0,0,0,0,6,10.813555086404165,969.997802734375,76.14356848454929,143.06989212580862,0,2.0465104579925537,N/A
2003,1,1,22,0,0,0,0,0,0,0,6,10.303900207346942,969.8585815429688,77.83858412082829,156.6975793514432,0,1.8860971927642822,N/A
2003,1,1,23,0,0,0,0,0,0,0,6,9.860131009786585,969.8270263671875,79.71473807357118,170.3578479953174,0,1.7515900135040283,N/A
2003,1,2,0,0,0,0,0,0,0,0,6,9.421577800337616,969.6139526367188,82.60653436085532,175.6367587700271,0,1.6521965265274048,N/A
2003,1,2,1,0,0,0,0,0,0,0,6,8.9994311804478,969.4006958007812,85.51257710627186,162.0538463286107,0,1.5799202919006348,N/A
2003,1,2,2,0,0,0,0,0,0,0,6,8.596030039549362,969.2651977539062,88.41936394338947,148.39912758612644,0,1.4084597826004028,N/A
2003,1,2,3,0,0,0,0,0,0,0,6,8.226775311077517,969.4278564453125,91.13433040209657,134.82953691677952,0,1.236544132232666,N/A
2003,1,2,4,0,0,0,0,0,0,0,6,7.884060035998175,970.0269165039062,93.92086525458556,121.41128411503172,0,1.1858000755310059,N/A
2003,1,2,5,0,0,0,0,0,0,0,7,7.561504782106795,971.0399169921875,96.5874255349554,108.22613404685198,0,1.2532551288604736,N/A
2003,1,2,6,0,0,0,0,0,0,0,7,7.784570750707303,971.75146484375,95.75399395016862,95.39159731971569,0,1.3894362449645996,N/A
2003,1,2,7,0,55,126,71,50,211,75,7,10.952145161452847,972.9791870117188,79.51407427774633,83.08708857713209,0,1.3784955739974976,N/A
2003,1,2,8,0,115,502,274,115,502,274,7,14.5888914649463,973.5075073242188,64.60104311885127,71.60581252455758,0,1.2571656703948975,N/A
2003,1,2,9,0,151,653,464,151,653,464,7,18.65663199961142,973.2297973632812,47.007544644856075,61.42144158792141,0,1.3649848699569702,N/A
2003,1,2,10,0,172,732,610,172,732,610,6,21.096267714130192,972.3064575195312,39.01713755685927,53.29496559431351,0,1.2422062158584595,N/A
2003,1,2,11,0,182,769,694,182,769,694,6,22.74621077029758,971.3251953125,34.051973323243665,48.28539609874689,0,1.1230225563049316,N/A
2003,1,2,12,0,183,773,707,183,773,707,5,23.64366653059153,970.296142578125,31.369031331185848,47.3962260458375,0,1.0492299795150757,N/A
2003,1,2,13,0,177,748,649,177,748,649,5,23.745548325340167,969.5219116210938,30.62695500328957,50.84487965413444,0,1.0878390073776245,N/A
2003,1,2,14,0,160,686,525,160,686,525,5,23.125577457680606,968.9493408203125,31.515389768776313,57.85855174036981,0,1.0597513914108276,N/A
2003,1,2,15,0,131,568,350,131,568,350,5,21.591272164486043,969.072265625,34.95493797161064,67.3275905502539,0,1.0908206701278687,N/A
2003,1,2,16,0,92,216,136,80,345,150,8,18.422694704747528,969.1111450195312,52.147462869503556,78.3602943380813,0,1.7592204809188843,N/A
2003,1,2,17,0,0,0,0,1,2,1,7,16.35327014155439,969.561279296875,56.653178685497316,90.37395875175902,0,2.571455478668213,N/A
2003,1,2,18,0,0,0,0,0,0,0,7,15.321280537643133,970.2833251953125,59.736110062268054,103.02829478607305,0,2.9647414684295654,N/A
2003,1,2,19,0,0,0,0,0,0,0,7,14.298446693640926,970.6680297851562,64.98892246530353,116.0913011067467,0,3.0533320903778076,N/A
2003,1,2,20,0,0,0,0,0,0,0,8,13.363652990122034,970.9913330078125,70.14674379716509,129.42926102189,0,3.031771183013916,N/A
2003,1,2,21,0,0,0,0,0,0,0,8,12.546844516827548,971.3648071289062,74.81268177155317,142.9484327736344,0,2.90879225730896,N/A
2003,1,2,22,0,0,0,0,0,0,0,8,11.86246806890938,971.3998413085938,78.64569787811726,156.5785077707176,0,2.755183219909668,N/A
2003,1,2,23,0,0,0,0,0,0,0,8,11.283325595650695,971.4142456054688,81.84071545907705,170.23698016937993,0,2.637176990509033,N/A
2003,1,3,0,0,0,0,0,0,0,0,8,10.779249646848655,971.4141235351562,84.8413174284545,175.71106729144873,0,2.53676176071167,N/A
2003,1,3,1,0,0,0,0,0,0,0,8,10.314455912285439,971.3800659179688,88.48968993400538,162.1479371690266,0,2.4317891597747803,N/A
2003,1,3,2,0,0,0,0,0,0,0,8,9.879045878614647,971.0603637695312,92.08326584355284,148.49077158531637,0,2.2538821697235107,N/A
2003,1,3,3,0,0,0,0,0,0,0,8,9.50809287057524,971.1357421875,95.34123118308896,134.91619546936948,0,2.105585813522339,N/A
2003,1,3,4,0,0,0,0,0,0,0,8,9.19409278240505,971.0239868164062,98.00269463664046,121.49140307757601,0,2.0226471424102783,N/A
2003,1,3,5,0,0,0,0,0,0,0,8,8.926060429115125,971.1845092773438,99.82368590026725,108.29803786448146,0,2.004483461380005,N/A
2003,1,3,6,0,0,0,0,0,0,0,8,9.254748744968595,971.9701538085938,97.07995384865356,95.45308520451509,0,2.0365073680877686,N/A
2003,1,3,7,0,55,124,70,48,199,72,8,12.418264532779062,972.401611328125,79.02126399267422,83.13505305223902,0,1.900331735610962,N/A
2003,1,3,8,0,113,486,267,113,486,267,9,16.055054577677367,972.8361206054688,64.95454401309698,71.6357691002634,0,1.3426157236099243,N/A
2003,1,3,9,0,149,636,454,149,636,454,8,20.978738556782616,972.6202392578125,44.04250118851353,61.42707902639038,0,0.9027075171470642,N/A
2003,1,3,10,0,170,714,597,170,714,597,7,24.033105269172836,971.7860717773438,35.08397836534046,53.26850748223594,0,0.08235200494527817,N/A
2003,1,3,11,0,180,751,681,180,751,681,7,25.769318641601274,970.7633666992188,31.042745967173314,48.220713340351686,0,0.7161735892295837,N/A
2003,1,3,12,0,182,756,695,182,756,695,7,26.33901554458572,969.4652709960938,29.59969888570656,47.29512971560308,0,1.3320623636245728,N/A
2003,1,3,13,0,241,602,623,175,731,638,7,26.05514381915765,968.9435424804688,29.787126768797805,50.71877089118207,0,1.899440884590149,N/A
2003,1,3,14,0,266,221,385,159,669,517,6,25.102027811880646,968.4933471679688,31.449543022826692,57.720606716874094,0,2.112067222595215,N/A
2003,1,3,15,0,148,15,154,130,553,345,7,23.361965781905838,968.6035766601562,35.17710945235824,67.18653023098088,0,2.1734423637390137,N/A
2003,1,3,16,0,90,113,114,80,335,148,8,20.17522012135032,968.7391967773438,47.88988270021554,78.22046292111673,0,2.380011796951294,N/A
2003,1,3,17,0,0,0,0,2,3,2,9,17.981392057340372,969.431640625,57.51574403588544,90.23742496885946,0,2.702500104904175,N/A
2003,1,3,18,0,0,0,0,0,0,0,9,16.927905165546292,970.1348266601562,61.09432186617666,102.8952850232642,0,2.784562110900879,N/A
2003,1,3,19,0,0,0,0,0,0,0,9,15.96446311869397,970.673095703125,64.7293742346015,115.96221776371516,0,2.703514337539673,N/A
2003,1,3,20,0,0,0,0,0,0,0,9,15.155076880637466,970.6412963867188,67.81038770983056,129.30401156141323,0,2.637575387954712,N/A
2003,1,3,21,0,0,0,0,0,0,0,9,14.454051527846332,970.60888671875,70.48046141463948,142.82668538159265,0,2.5415802001953125,N/A
2003,1,3,22,0,0,0,0,0,0,0,9,13.824541213862574,970.3614501953125,72.75650190703674,156.45930584580276,0,2.3803067207336426,N/A
2003,1,3,23,0,0,0,0,0,0,0,8,13.27542683473854,970.0986328125,74.47918333868166,170.1154828791572,0,2.1584665775299072,N/A
2003,1,4,0,0,0,0,0,0,0,0,8,12.790063906798196,970.298095703125,75.63327945040734,175.7783263396039,0,1.930572748184204,N/A
2003,1,4,1,0,0,0,0,0,0,0,8,12.323470632212661,970.27490234375,76.42791557407327,162.23914203784875,0,1.770611047744751,N/A
2003,1,4,2,0,0,0,0,0,0,0,8,11.86448557503769,969.8400268554688,77.30532903130225,148.57964537780234,0,1.6651514768600464,N/A
2003,1,4,3,0,0,0,0,0,0,0,7,11.444911867879568,969.8823852539062,77.82963267862752,134.99987025423923,0,1.5914250612258911,N/A
2003,1,4,4,0,0,0,0,0,0,0,7,11.019003484270911,970.3281860351562,78.30368221671192,121.56820636703806,0,1.5184605121612549,N/A
2003,1,4,5,0,0,0,0,0,0,0,7,10.616723507393942,970.7225341796875,78.61621037349671,108.36621463962632,0,1.4462532997131348,N/A
2003,1,4,6,0,0,0,0,0,0,0,7,10.774169034105569,971.3084106445312,81.2547981756851,95.51035860635494,0,1.3365516662597656,N/A
2003,1,4,7,0,51,104,64,48,198,72,7,13.745968226181901,971.9450073242188,64.82561323876575,83.17823189676056,0,1.1448125839233398,N/A
2003,1,4,8,0,136,341,244,113,488,267,7,16.896667794156258,972.305908203125,55.414222709127,71.66027853123367,0,0.8786491751670837,N/A
2003,1,4,9,0,169,599,456,150,640,456,6,20.867039512536678,972.1339721679688,38.32839409792502,61.42653568434082,0,1.4926508665084839,N/A
2003,1,4,10,0,168,719,599,171,721,602,5,22.831059909814826,970.9240112304688,32.841768670267385,53.235156936639235,0,1.7848705053329468,N/A
2003,1,4,11,0,181,759,688,181,759,688,5,23.95496889743896,969.6046142578125,30.51223153733836,48.1486894999203,0,2.0129830837249756,N/A
2003,1,4,12,0,183,767,704,183,767,704,5,24.472727049518653,968.44677734375,29.479428447256467,47.186847001202366,0,2.2515599727630615,N/A
2003,1,4,13,0,176,745,649,176,745,649,5,24.300322601519156,967.8733520507812,29.467416065148395,50.586316977372746,0,2.586074113845825,N/A
2003,1,4,14,0,161,687,529,161,687,529,5,23.388294245322527,967.760986328125,30.43731665972037,57.57750442027309,0,2.937924861907959,N/A
2003,1,4,15,0,132,574,356,132,574,356,4,21.697281991169916,967.880859375,32.50616538852567,67.04148175154376,0,3.2219626903533936,N/A
2003,1,4,16,0,94,234,143,82,357,156,4,18.548321426460973,968.299560546875,40.3391637933311,78.07763970931356,0,3.166621685028076,N/A
2003,1,4,17,0,0,0,0,2,4,2,5,15.968040777949398,969.1281127929688,48.25045251014494,90.09865681173868,0,3.4523088932037354,N/A
2003,1,4,18,0,0,0,0,0,0,0,4,14.643720009819447,969.7230834960938,50.56574703357951,102.76077098434878,0,3.461534261703491,N/A
2003,1,4,19,0,0,0,0,0,0,0,4,13.502502118521988,969.7716064453125,53.12396558307738,115.83216801908867,0,3.2895262241363525,N/A
2003,1,4,20,0,0,0,0,0,0,0,3,12.563567349587004,969.8638916015625,55.30983092756412,129.1782265444268,0,3.1069488525390625,N/A
2003,1,4,21,0,0,0,0,0,0,0,3,11.775734340464624,969.7626953125,56.73346833850903,142.70471949747179,0,2.942065954208374,N/A
2003,1,4,22,0,0,0,0,0,0,0,3,11.093725654388834,969.65185546875,57.575714820333715,156.34001213253032,0,2.8271570205688477,N/A
2003,1,4,23,0,0,0,0,0,0,0,2,10.46648574840583,969.2553100585938,57.96684106876585,169.9933128635247,0,2.7425010204315186,N/A
2003,1,5,0,0,0,0,0,0,0,0,2,9.877539482654015,969.3298950195312,58.27378537516488,175.8376976858362,0,2.669128894805908,N/A
2003,1,5,1,0,0,0,0,0,0,0,1,9.276755951500263,969.254638671875,58.66000773822727,162.3272285185045,0,2.5827369689941406,N/A
2003,1,5,2,0,0,0,0,0,0,0,1,8.683362507068352,968.958251953125,59.26287353760302,148.66558543072634,0,2.409827709197998,N/A
2003,1,5,3,0,0,0,0,0,0,0,0,8.14939981738263,968.8892211914062,59.708431668977866,135.0804281435339,0,2.172395706176758,N/A
2003,1,5,4,0,0,0,0,0,0,0,0,7.71954721164866,969.4401245117188,59.83722460584635,121.64158142922741,0,1.9217510223388672,N/A
2003,1,5,5,0,0,0,0,0,0,0,0,7.368149909785586,969.6820678710938,59.5817975962858,108.43056930309697,0,1.6860460042953491,N/A
2003,1,5,6,0,0,0,0,0,0,0,0,7.65892611374943,970.1920776367188,55.5391327671858,95.56333952235485,0,1.4966717958450317,N/A
2003,1,5,7,0,52,95,64,50,222,77,1,11.031142529203578,971.3482666015625,50.140693320945076,83.21654935670183,0,1.3758494853973389,N/A
2003,1,5,8,0,143,406,271,117,524,282,0,14.3665374503924,972.7632446289062,37.057341223445356,71.67929623453452,0,1.0863064527511597,N/A
2003,1,5,9,0,145,660,461,153,677,478,-1,18.574624099777793,973.3297729492188,25.098199632478817,61.41979329729034,0,1.6945171356201172,N/A
2003,1,5,10,0,163,737,605,174,758,629,-2,20.988596903416237,972.6821899414062,20.651743008224464,53.194919720739215,0,1.9186476469039917,N/A
2003,1,5,11,0,170,781,692,185,795,716,-2,22.463407883973503,971.7784423828125,18.512455314213128,48.06935125438966,0,1.8358970880508423,N/A
2003,1,5,12,0,170,794,711,187,800,732,-2,23.230813717570754,970.7550659179688,17.302895862208455,47.071425771375644,0,1.6459003686904907,N/A
2003,1,5,13,0,164,770,655,180,776,674,-3,23.219541966830946,970.3572387695312,17.10219955216812,50.447590294738944,0,1.4971204996109009,N/A
2003,1,5,14,0,152,710,535,164,715,549,-3,22.357592956337385,969.9954223632812,17.77620368120317,57.42933957382007,0,1.45221745967865,N/A
2003,1,5,15,0,141,561,362,135,600,371,-2,20.558923168667263,969.7880249023438,20.47359801420002,66.89255402573751,0,1.47072172164917,N/A
2003,1,5,16,0,95,211,140,85,379,164,3,16.964307444477924,970.1627807617188,39.83776683717953,77.9319413858885,0,1.709409236907959,N/A
2003,1,5,17,0,0,0,0,3,6,3,3,14.876898463807663,970.7063598632812,46.623781408113025,89.95783096958408,0,1.8255202770233154,N/A
2003,1,5,18,0,0,0,0,0,0,0,3,13.950610863616362,970.9563598632812,48.36216383953036,102.62485687054675,0,1.6275177001953125,N/A
2003,1,5,19,0,0,0,0,0,0,0,2,13.142441893294517,971.0810546875,49.914904054820234,115.70124773130823,0,1.170178771018982,N/A
2003,1,5,20,0,0,0,0,0,0,0,1,12.462461942999823,971.0322265625,48.59579425086626,129.05198965826955,0,0.6174764037132263,N/A
2003,1,5,21,0,0,0,0,0,0,0,2,11.808311008025441,970.4146118164062,54.416477142949184,142.5826003633225,0,0.18714292347431183,N/A
2003,1,5,22,0,0,0,0,0,0,0,1,11.218490080314155,969.955078125,50.066737758373414,156.2206589123106,0,0.24577438831329346,N/A
2003,1,5,23,0,0,0,0,0,0,0,2,10.676298779494402,969.7821655273438,55.427535995064694,169.87041708489534,0,0.39322561025619507,N/A
2003,1,6,0,0,0,0,0,0,0,0,1,10.204599298752157,970.001708984375,52.83911716325797,175.88831255101388,0,0.4244779944419861,N/A
2003,1,6,1,0,0,0,0,0,0,0,1,9.746132348963556,970.1337890625,57.26766098821876,162.41195716165745,0,0.44333982467651367,N/A
2003,1,6,2,0,0,0,0,0,0,0,0,9.301428826909216,970.1370239257812,54.25218186868433,148.7484262750984,0,0.5822669267654419,N/A
