Hour,Wind Speed
0,6.276222229003906
1,6.3282551765441895
2,6.369097232818604
3,6.357487678527832
4,6.279695510864258
5,6.165099620819093
6,6.049817085266112
7,6.403310775756836
8,6.721863269805907
9,6.918280601501465
10,7.018492698669434
11,7.1085262298583975
12,7.163961410522461
13,7.009236812591553
14,6.7909746170043945
15,6.6750593185424805
16,6.5061302185058585
17,6.357029914855957
18,6.310805797576903
19,6.254220485687256
20,5.855278015136719
21,5.5668978691101065
22,5.734084129333496
23,6.15869140625
0,6.3756041526794425
1,6.16039514541626
2,5.820846080780028
3,5.758796215057372
4,5.7542033195495605
5,5.6769962310791025
6,5.591918468475342
7,5.832714557647705
8,6.177299499511719
9,6.261134147644043
10,6.220643520355225
11,6.101162433624268
12,6.024961471557617
13,6.004788398742676
14,6.03926420211792
15,5.914356231689452
16,5.7025513648986825
17,5.4791259765625
18,5.4533729553222665
19,5.458533763885498
20,5.42462682723999
21,5.349642753601074
22,5.2569899559021
23,5.21945858001709
0,5.195550441741943
1,5.222617149353027
2,5.28428316116333
3,5.371508598327637
4,5.4414238929748535
5,5.511929512023926
6,5.480599403381348
7,5.708289623260497
8,6.0419578552246085
9,6.181443691253662
10,6.309980392456055
11,6.331535816192628
12,6.351167678833008
13,6.288673400878906
14,6.310306072235107
15,6.275673389434815
16,5.98276948928833
17,5.755080223083496
18,5.70911169052124
19,5.697299480438232
20,5.733952045440674
21,5.8028202056884775
22,5.879604816436768
23,5.929255962371826
0,5.916121482849121
1,5.908675193786621
2,5.986990928649902
3,6.1378045082092285
4,6.190152168273926
5,6.167381763458253
6,6.092641353607178
7,6.1640944480896
8,6.419376850128174
9,6.524783611297607
10,6.611339569091798
11,6.683127403259277
12,6.770063877105713
13,6.886094093322754
14,7.033177852630615
15,7.013852119445801
16,6.853152275085449
17,6.356822967529298
18,6.047099590301514
19,6.027719974517822
20,5.916571617126465
21,5.74894380569458
22,5.657884120941162
23,5.665256977081299
0,5.7791690826416025
1,5.9498558044433585
2,6.100242137908936
3,6.219296455383301
4,6.2020697593688965
5,6.157773017883301
6,6.11088752746582
7,6.173628807067871
8,6.66655158996582
9,7.238871574401855
10,7.638047218322754
11,7.787801742553711
12,7.995503425598144
13,8.194063186645508
14,8.082831382751465
15,7.782406806945801
16,7.2843871116638175
17,6.555930614471436
18,6.159075736999513
19,5.955167293548584
20,5.841299533843994
21,5.812488079071045
22,5.79561710357666
23,5.8214964866638175
0,5.858710765838622
1,5.851926803588867
2,5.788339614868164
3,5.76944637298584
4,5.871756076812744
5,6.0798163414001465
6,6.255410194396973
7,6.491911888122559
8,6.85680103302002
9,6.975485324859619
10,6.9241981506347665
11,6.866408348083496
12,6.894609928131104
13,6.892731189727782
14,6.969066619873048
15,6.839579105377197
16,6.478421211242676
17,6.01961088180542
18,5.809288024902344
19,5.696522235870361
20,5.535418510437012
21,5.297849655151367
22,5.167768955230713
23,5.167598247528076
0,5.192095756530762
1,5.219947814941406
2,5.084916591644287
3,4.9180564880371085
4,4.799052715301514
5,4.718771934509277
6,4.570361614227295
7,4.891587734222412
8,5.399588584899902
9,5.727253437042236
10,5.8158769607543945
11,5.826692581176758
12,5.777610778808594
13,5.724342346191406
14,5.618185997009277
15,5.416540622711182
16,5.134700298309326
17,4.913002967834473
18,4.891093254089356
19,4.860229015350342
20,4.720130443572998
21,4.581772327423097
22,4.5471720695495605
23,4.563318252563477
0,4.61093807220459
1,4.6256489753723145
2,4.654080390930176
3,4.624948501586914
4,4.568770885467528
5,4.539288520812988
6,4.432104110717773
7,4.703855514526367
8,5.0268378257751465
9,5.110604286193848
10,5.0482444763183585
11,5.0149760246276855
12,5.00650691986084
13,5.062429428100586
14,5.181843280792236
15,5.260862827301025
16,5.086619853973389
17,4.783080577850342
18,4.729060649871826
19,4.757180213928223
20,4.815907955169678
21,4.827032089233398
22,4.815354347229004
23,4.851812362670898
0,4.9470953941345215
1,5.049582481384277
2,5.005145072937012
3,4.887956142425537
4,4.73480224609375
5,4.559532165527344
6,4.2954187393188485
7,4.1898460388183585
8,4.528135776519775
9,4.869418144226074
10,5.1133904457092285
11,5.317342758178711
12,5.536757946014403
13,5.77595853805542
14,5.873405933380128
15,5.93328857421875
16,5.6979570388793945
17,5.271390438079834
18,5.0503034591674805
19,4.936343193054199
20,4.810615539550781
21,4.662798881530762
22,4.608514785766602
23,4.587169647216797
0,4.538754463195801
1,4.5490498542785645
2,4.623888969421387
3,4.748290538787842
4,4.804821491241455
5,4.73605489730835
6,4.5444064140319815
7,4.44464921951294
8,4.679068565368652
9,4.887758255004883
