Hour,Wind Speed
0,2.36130166053772
1,2.1140272617340092
2,1.9203273057937624
3,1.7864435911178589
4,1.7154552936553955
5,1.7585617303848269
6,1.7468591928482056
7,1.7234803438186646
8,1.549126386642456
9,1.3685321807861328
10,1.293340802192688
11,1.2377235889434814
12,1.319580316543579
13,1.5574607849121094
14,1.4477366209030151
15,1.2174721956253052
16,1.1319172382354736
17,1.2172479629516602
18,1.4642529487609863
19,1.7317668199539185
20,2.2260987758636475
21,2.5745832920074463
22,2.7940428256988525
23,2.9289751052856445
0,3.005533456802368
1,3.028772115707397
2,2.8878469467163086
3,2.6939141750335693
4,2.488165616989136
5,2.1666858196258545
6,1.9817999601364136
7,1.7075698375701904
8,1.63930082321167
9,1.5911206007003784
10,1.5223656892776491
11,1.4380524158477783
12,1.26577627658844
13,1.1042017936706543
14,0.9677351117134094
15,1.0281037092208862
16,1.3680695295333862
17,1.9165189266204836
18,2.3859541416168213
19,2.6968302726745605
20,2.8133761882781982
21,2.765888214111328
22,2.7022740840911865
23,2.814098358154297
0,2.9576733112335205
1,2.9830129146575928
2,2.914523839950561
3,2.7918016910552983
4,2.663183689117432
5,2.5149295330047607
6,2.3079397678375244
7,2.326131582260132
8,2.255575895309448
9,2.1084947586059566
10,1.994707942008972
11,1.9350444078445437
12,2.0419745445251465
13,2.3247902393341064
14,2.7472548484802246
15,3.273695945739746
16,3.68710994720459
17,3.8271560668945312
18,3.946723222732544
19,4.1578330993652335
20,4.326817035675049
21,4.593442440032959
22,4.923626899719238
23,5.232725143432617
0,5.471410751342773
1,5.663776397705077
2,5.6701393127441415
3,5.455944061279297
4,5.013824939727783
5,4.426775932312012
6,3.895828723907471
7,3.6337964534759517
8,3.1572296619415283
9,2.7685837745666504
10,2.6366496086120605
11,2.6506617069244385
12,2.737381935119629
13,2.885561227798462
14,3.2249176502227783
15,3.6773135662078857
16,4.137499809265137
17,4.467864036560059
18,4.5443949699401855
19,4.3523478507995605
20,4.209249973297118
21,4.08925724029541
22,4.136648654937743
23,4.274882316589356
0,4.469949245452881
1,4.694497585296631
2,4.86911153793335
3,4.931067943572998
4,4.822657108306885
5,4.536209583282472
6,4.336916446685791
7,4.2322750091552725
8,3.9780235290527344
9,3.7684402465820312
10,3.5763442516326904
11,3.3450376987457275
12,3.0956521034240723
13,2.895742654800415
14,3.0248336791992188
15,3.4113917350769043
16,3.844936847686768
17,4.260127067565918
18,4.5583696365356445
19,4.711031436920166
20,4.644634246826172
21,4.332385063171387
22,4.1911396980285645
23,4.098977565765382
0,3.913051843643189
1,3.643324851989746
2,3.4626994132995605
3,3.3323421478271484
4,3.201407194137573
5,3.2040526866912837
6,3.2190766334533687
7,3.3177106380462646
8,3.2318241596221924
9,3.2433762550354004
10,3.428959369659424
11,3.6641361713409424
12,3.745496988296509
13,3.730898141860962
14,3.729347229003906
15,3.735174655914306
16,3.862614393234253
17,4.2289228439331055
18,4.601261615753174
19,4.690110206604004
20,4.487130165100098
21,4.137816905975342
22,3.91380786895752
23,3.7493412494659424
0,3.678841352462769
1,3.7142319679260254
2,3.819423675537109
3,3.881357669830322
4,3.756357431411743
5,3.497917890548706
6,3.293630361557007
7,3.1678392887115483
8,3.077886819839477
9,3.064363718032837
10,3.1551330089569087
11,3.253218173980713
12,3.27260160446167
13,3.1779940128326416
14,3.0359618663787837
15,2.934734344482422
16,3.012477397918701
17,3.297823190689087
18,3.6814360618591313
19,3.92020583152771
20,3.99552321434021
21,3.968400478363037
22,3.888850450515747
23,3.855262041091919
0,3.8273909091949454
1,3.725006580352783
2,3.5664725303649902
3,3.5002655982971187
4,3.4994494915008545
5,3.415107250213623
6,3.5121777057647705
7,3.5093142986297607
8,3.276901960372925
9,3.05074143409729
10,3.0236601829528813
11,3.0856833457946777
12,3.0766916275024414
13,2.9503140449523926
14,2.8633036613464355
15,2.868173837661743
16,3.0055692195892334
17,3.3760983943939213
18,3.650800228118897
19,3.91072678565979
20,3.981621742248535
21,3.989482879638672
22,4.030647277832031
23,4.079475402832031
0,4.125666618347168
1,4.175642013549806
2,4.148501396179198
3,4.049728870391847
4,3.869990110397339
5,3.6011171340942383
6,3.319483518600464
7,3.0598068237304688
8,2.755445003509521
9,2.601440191268921
10,2.7200655937194824
11,2.9672231674194336
12,3.091954469680786
13,3.0214416980743413
14,2.8700854778289795
15,2.7660207748413086
16,2.8729755878448486
17,3.3234038352966313
18,3.964606523513794
19,4.5092082023620605
20,4.799598217010498
21,4.9226579666137695
22,4.538987159729004
23,4.306586742401123
0,4.219224929809569
1,4.221001148223877
2,4.213699817657472
3,4.070952415466309
4,3.813289403915405
5,3.562077045440674
6,3.484639883041382
7,3.5996074676513667
8,3.6289780139923096
9,3.6252517700195312
10,3.6461291313171382
11,3.5926525592803955
12,3.4858646392822266
13,3.373778820037842
14,3.0672550201416016
15,2.8067452907562256
16,2.725024938583374
17,2.947270154953003
18,3.3566362857818604
19,3.88265323638916
20,4.252346992492677
21,4.443478584289551
22,4.538693428039551
23,4.493611812591553
0,4.379181385040283
1,4.256673812866212
2,4.1296963691711435
3,4.007476329803467
4,3.900743246078491
5,3.80362319946289
6,3.789029598236084
7,3.936234712600708
8,3.961584329605103
9,4.000382423400879
10,4.098158836364746
11,4.223542213439941
12,4.319879055023193
13,4.37473201751709
14,4.262806415557861
15,4.090127468109132
16,4.0619421005249015
17,4.203451156616212
18,4.2652225494384775
19,4.388408660888672
20,4.56304407119751
21,4.734519481658936
22,4.882002830505371
23,5.002923011779785
0,5.05845308303833
1,5.062837600708008
2,5.114618301391602
3,5.140372276306152
4,5.08673620223999
5,4.9058709144592285
6,4.821668148040772
7,4.87015962600708
8,4.772676467895508
9,4.652596473693848
10,4.556214332580566
11,4.4971113204956055
12,4.446896553039551
13,4.462591648101807
14,4.557400703430176
15,4.767268657684326
16,5.073939800262451
17,5.482409954071045
18,5.7264671325683585
19,5.745323657989503
20,5.940460205078125
21,6.062102794647218
22,6.195042133331299
23,6.413942813873291
0,6.610820293426514
1,6.585709571838379
2,6.27874755859375
3,6.049519062042236
4,5.718637943267822
5,5.475691795349121
6,5.274095058441162
7,5.520326614379883
