Hour,Wind Speed
0,1.5125290155410769
1,1.5203235149383545
2,1.4810662269592283
3,1.442163586616516
4,1.4238553047180176
5,1.414299488067627
6,1.3939762115478516
7,1.3605912923812866
8,1.4717127084732056
9,1.5970911979675293
10,1.6449923515319824
11,1.7258728742599487
12,1.6904690265655518
13,1.6672031879425049
14,1.5942704677581787
15,1.4681625366210938
16,1.3754534721374512
17,1.3836658000946045
18,1.353115439414978
19,1.3165013790130615
20,1.3122738599777222
21,1.313210129737854
22,1.3181501626968384
23,1.3355540037155151
0,1.376252055168152
1,1.4136706590652466
2,1.4226734638214111
3,1.4252398014068604
4,1.404008150100708
5,1.3690835237503052
6,1.3309605121612549
7,1.2825599908828735
8,1.3700042963027954
9,1.4395091533660889
10,1.4925788640975952
11,1.480816125869751
12,1.4817575216293335
13,1.4747793674468994
14,1.4470239877700806
15,1.4205855131149292
16,1.2998112440109253
17,1.2253503799438477
18,1.2430202960968018
19,1.238494873046875
20,1.2577427625656128
21,1.2623746395111084
22,1.2608258724212646
23,1.2904866933822632
0,1.3435641527175903
1,1.393317699432373
2,1.4155842065811155
3,1.425260066986084
4,1.4243559837341309
5,1.4293639659881592
6,1.421398639678955
7,1.3957247734069824
8,1.484976291656494
9,1.5401394367218018
10,1.5282585620880127
11,1.5044409036636353
12,1.489797592163086
13,1.455037236213684
14,1.4632914066314695
15,1.536887288093567
16,1.4771443605422974
17,1.3193306922912598
18,1.3401739597320557
19,1.3553962707519531
20,1.406299352645874
21,1.4167487621307373
22,1.4352608919143677
23,1.4303350448608398
0,1.4128865003585815
1,1.4234052896499634
2,1.4402865171432495
3,1.4502813816070557
4,1.4507009983062744
5,1.4383748769760132
6,1.4118094444274902
7,1.3777583837509155
8,1.5096296072006226
9,1.6313345432281494
10,1.6096380949020386
11,1.6013987064361572
12,1.6073988676071167
13,1.615848183631897
14,1.569546818733215
15,1.5093040466308594
16,1.4152960777282717
17,1.353527307510376
18,1.3762807846069336
19,1.3820823431015017
20,1.3763396739959717
21,1.3245065212249756
22,1.2962713241577148
23,1.3076493740081787
0,1.3353077173233032
1,1.334814429283142
2,1.311872482299805
3,1.319251537322998
4,1.3276803493499756
5,1.333258032798767
6,1.3156808614730835
7,1.3056106567382812
8,1.387543797492981
9,1.5183377265930176
10,1.5968868732452393
11,1.6046711206436155
12,1.6231443881988523
13,1.6438992023468018
14,1.6641253232955933
15,1.6094375848770142
16,1.5101150274276731
17,1.3558995723724363
18,1.388518214225769
19,1.3917027711868286
20,1.390783190727234
21,1.3777738809585571
22,1.370697021484375
23,1.3971567153930664
0,1.4271551370620728
1,1.4461510181427002
2,1.4385687112808228
3,1.4088759422302246
4,1.378705382347107
5,1.372816562652588
6,1.3689063787460327
7,1.335187554359436
8,1.4394406080245972
9,1.4617540836334229
10,1.4696394205093384
11,1.4572188854217532
12,1.4468384981155396
13,1.4087786674499512
14,1.4537067413330078
15,1.4942057132720947
16,1.4126975536346436
17,1.2680047750473022
18,1.2295252084732056
19,1.2077816724777222
20,1.2384426593780518
21,1.2785162925720217
22,1.291099190711975
23,1.2889593839645386
0,1.2462033033370972
1,1.2126535177230835
2,1.1828653812408447
3,1.181397795677185
4,1.192039966583252
5,1.1940678358078003
6,1.1715518236160278
7,1.1610826253890991
8,1.1183115243911743
9,1.2108163833618164
10,1.2668105363845823
11,1.2908889055252075
12,1.332949995994568
13,1.3308368921279907
14,1.295418381690979
15,1.244853973388672
16,1.0760663747787476
17,1.0222985744476318
18,0.9949132800102234
19,0.9957267045974731
20,1.0087467432022097
21,1.0371956825256348
22,1.0705938339233398
23,1.0891315937042236
0,1.101090908050537
1,1.118313908576965
2,1.1163616180419922
3,1.1036279201507568
4,1.1059304475784302
5,1.1176347732543943
6,1.127526044845581
7,1.1363967657089231
8,1.1713839769363403
9,1.175966739654541
10,1.2349523305892944
11,1.2787086963653564
12,1.2874631881713867
13,1.2803181409835815
14,1.2594704627990725
15,1.2138134241104126
16,1.1751514673233032
17,1.132237434387207
18,1.1539688110351562
19,1.1909781694412231
20,1.1370234489440918
21,1.0511106252670288
22,1.0121392011642456
23,1.0217608213424685
0,1.0402276515960691
1,1.0447108745574951
2,1.051593542098999
3,1.0611445903778076
4,1.0492336750030518
5,1.0135858058929443
6,0.9562131762504578
7,0.9203073978424072
8,0.9158645272254944
9,0.95291930437088
10,1.0398236513137815
11,1.1397933959960938
12,1.2193527221679688
13,1.2568180561065674
14,1.261314868927002
15,1.240913987159729
16,1.169397234916687
17,1.1300722360610962
18,1.1417486667633057
19,1.1285734176635742
20,1.097753405570984
21,1.0995500087738037
22,1.132195234298706
23,1.14951491355896
0,1.149380445480347
1,1.162718415260315
2,1.1495771408081057
3,1.1280581951141355
4,1.105270504951477
5,1.0754268169403076
6,1.0350563526153564
7,0.9983476400375366
8,0.9711039066314696
9,0.9999884366989136
10,1.047806978225708
11,1.0954526662826538
12,1.119367241859436
13,1.10915207862854
14,1.1265571117401123
15,1.0565645694732666
16,0.9884790778160096
17,0.9687706232070924
18,0.9812923073768616
19,1.0254467725753784
20,1.044155478477478
21,1.0406308174133299
22,1.0494780540466309
23,1.0682005882263184
0,1.0812169313430786
1,1.0888134241104126
2,1.0768389701843262
3,1.0718269348144531
4,1.0782231092453003
5,1.0924111604690552
6,1.0843087434768677
7,1.0547875165939329
8,1.0908632278442385
9,1.1079874038696291
10,1.221681833267212
11,1.286576747894287
12,1.3656375408172607
13,1.3860894441604614
14,1.362619400024414
15,1.3519558906555176
16,1.321192979812622
17,1.1075807809829712
18,1.1532450914382937
19,1.184442400932312
20,1.2268837690353394
21,1.2551546096801758
22,1.264876127243042
23,1.2667218446731567
0,1.2602767944335938
1,1.2629104852676392
2,1.2439100742340088
3,1.2055807113647459
4,1.1617231369018557
5,1.11543607711792
6,1.0447517633438108
7,1.0017967224121094
8,1.0244152545928955
9,1.1176317930221558
10,1.1631064414978027
11,1.1716971397399902
12,1.1756902933120728
13,1.1367148160934448
14,1.1270005702972412
15,1.1505378484725952
16,1.102997660636902
17,1.0576379299163818
18,1.0537447929382324
19,1.076937913894653
20,1.1117191314697266
21,1.130682110786438
22,1.142308235168457
23,1.1746690273284912
0,1.2183626890182495
1,1.2603620290756226
2,1.2495816946029663
3,1.2153985500335691
4,1.1642470359802246
5,1.1076533794403076
6,1.0607587099075315
7,1.050470948219299
8,1.1033101081848145
9,1.1858136653900146
10,1.2518126964569092
11,1.2559325695037842
12,1.2345869541168213
13,1.2152550220489502
14,1.1817970275878906
15,1.0745090246200562
16,1.0418009757995603
17,1.016973614692688
18,0.9783393740653992
19,0.9599068164825441
20,1.0017474889755251
21,1.030970335006714
22,1.035054087638855
23,1.0482434034347534
0,1.0883969068527222
1,1.126094102859497
2,1.1094579696655271
3,1.0693881511688232
4,1.023592829704285
5,0.98196542263031
6,0.9560015201568604
7,0.9464911818504332
8,0.9912975430488586
9,0.9779958724975586
10,0.9378958344459534
11,0.9117791652679444
12,0.8954942226409912
13,0.9283859729766846
14,1.044265866279602
15,1.1187279224395752
16,1.0894842147827148
17,0.9721513986587524
18,0.9330383539199828
19,0.9529337882995604
20,0.980604648590088
21,1.0330755710601809
22,1.0239485502243042
23,0.9928472638130188
0,0.9482367038726808
1,0.9145550727844238
2,0.8872941732406616
3,0.8583754897117615
4,0.8547451496124268
5,0.8789603114128113
6,0.8969874978065491
7,0.8822288513183594
8,0.8594237565994263
9,0.8543339967727661
10,0.8493322134017944
11,0.8661455512046814
12,0.8570911884307861
13,0.8347676992416382
14,0.8127889633178711
15,0.7970896363258362
16,0.7795955538749695
17,0.7630618214607239
18,0.777018129825592
19,0.7850437164306641
20,0.7804152965545654
21,0.7864487767219543
22,0.8130245208740234
23,0.8633188605308533
0,0.907179594039917
1,0.9361477494239808
2,0.9231475591659546
3,0.9005173444747925
4,0.8768343329429626
5,0.8581720590591431
6,0.8347544074058533
7,0.8648505806922913
8,0.9074347615242004
9,0.9260994791984558
10,0.9575960040092468
11,1.0131334066390991
12,1.050196647644043
13,1.0350961685180664
14,1.0069795846939087
15,0.9611420035362244
16,0.8528720140457153
17,0.7645199298858643
18,0.7774839997291565
19,0.8361466526985168
20,0.8945512175559998
21,0.8726057410240173
22,0.8218922019004822
23,0.819405198097229
0,0.8324806094169617
1,0.8518576622009277
2,0.8589501976966858
3,0.8705992102622986
4,0.8846942186355591
5,0.883672833442688
6,0.8573439717292786
7,0.8811848759651184
8,0.9000481367111206
9,0.9351167082786559
10,0.9137512445449828
11,0.8695601224899292
12,0.8257031440734863
13,0.7835534811019897
14,0.7571620941162109
15,0.6861903071403503
16,0.6267973184585571
17,0.5888025164604187
18,0.5872232913970947
19,0.6030424237251282
20,0.5854201912879944
